MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,30.0,32.0,34.0,29.0,29.0,36.0,35.0,34.0,33.0,33.0,33.0
2,34.0,35.0,37.0,34.0,35.0,34.0,35.0,35.0,34.0,33.0,33.0
3,36.0,37.0,39.0,39.0,39.0,38.0,37.0,39.0,40.0,37.0,37.0
4,40.0,41.0,40.0,38.0,39.5,41.0,39.5,41.0,40.0,42.0,39.0
5,39.0,42.0,40.0,39.0,42.0,40.0,40.0,40.0,41.0,44.0,41.0
6,36.0,38.0,37.0,38.0,39.0,37.0,36.0,36.0,41.0,44.0,38.0
7,35.0,36.0,35.0,36.5,36.0,36.0,35.0,35.0,35.0,35.0,36.833333333333336
8,37.0,35.0,36.0,34.0,36.0,37.0,34.0,35.0,37.0,36.0,36.833333333333336
9,36.0,35.0,35.0,35.0,36.0,37.0,34.0,34.0,36.0,35.0,36.833333333333336
10,35.0,34.0,35.0,34.0,34.0,34.0,33.0,33.0,35.0,39.0,36.833333333333336
11,32.0,34.0,31.0,33.0,32.0,31.0,30.0,33.0,32.0,35.0,36.833333333333336
12,34.0,34.0,31.0,34.0,33.0,33.0,34.0,33.0,32.0,31.0,36.833333333333336
