MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,23.3,25.0,27.8,22.7,25.4,26.7,24.9,25.7,28.8,26.0,25.8
2,25.6,26.1,30.9,29.5,29.8,27.9,27.7,26.9,26.0,28.5,28.3
3,28.4,32.0,32.0,32.5,30.9,33.7,30.7,30.7,34.5,32.3,33.0
4,34.8,34.3,35.1,32.9,35.2,37.8,35.1,36.0,35.9,36.6,34.4
5,34.4,37.4,36.0,35.0,37.9,35.1,35.9,36.3,37.3,41.8,37.2
6,32.2,34.1,33.3,34.2,33.8,32.5,32.1,31.5,37.3,37.8,30.8
7,32.9,32.4,32.2,32.6,32.6,34.1,32.2,32.5,32.5,32.5,31.583333333333332
8,33.5,32.4,33.9,31.6,33.3,32.5,31.5,32.6,33.4,33.0,31.583333333333332
9,32.5,31.4,31.0,32.0,32.5,31.8,31.6,30.1,33.8,32.4,31.583333333333332
10,30.2,29.1,29.1,29.8,30.3,30.2,30.5,30.0,30.6,29.1,31.583333333333332
11,27.5,28.4,28.4,28.3,26.9,27.0,27.3,30.2,26.8,30.7,31.583333333333332
12,27.1,28.1,26.3,26.8,27.5,25.7,29.5,28.3,25.3,26.7,31.583333333333332
