MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,13.0,12.0,13.0,13.0,13.0,15.0,15.0,14.0,13.0,14.0,12.0
2,13.0,12.0,14.0,15.0,15.0,16.0,13.0,11.0,14.0,14.0,15.0
3,14.0,16.0,16.0,18.0,16.0,15.0,16.0,14.0,16.0,18.0,15.0
4,17.0,18.0,20.0,16.0,16.0,20.0,18.0,16.0,18.0,18.0,14.0
5,17.0,19.0,19.0,21.0,20.0,21.0,23.0,22.0,18.0,23.0,22.0
6,21.0,21.0,20.0,21.0,21.0,21.0,22.0,21.0,22.0,22.0,18.0
7,19.0,21.0,21.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,16.0
8,21.0,19.0,20.0,20.0,21.0,22.0,20.0,21.0,21.0,21.0,16.0
9,21.0,21.0,2.0,20.0,20.0,21.0,20.0,20.0,21.0,20.0,16.0
10,18.0,19.0,17.0,20.0,17.0,18.0,20.0,19.0,14.0,19.0,16.0
11,18.0,17.0,16.0,11.0,17.0,18.0,17.0,18.0,15.0,18.0,16.0
12,17.0,16.0,11.0,13.0,15.0,14.0,16.0,14.0,14.0,16.0,16.0
