MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,16.2,16.4,17.6,15.9,17.6,18.2,18.0,17.5,18.2,18.6,17.3
2,16.2,16.5,18.8,19.0,18.9,18.5,17.5,16.7,17.5,17.7,19.2
3,18.6,20.0,20.1,20.4,19.1,20.8,19.3,18.8,21.2,21.4,19.7
4,22.7,22.0,22.2,20.8,20.9,23.5,22.0,21.5,22.1,22.8,20.4
5,22.3,23.5,23.1,22.7,24.3,23.5,23.7,23.8,23.4,25.4,24.4
6,22.6,23.1,23.0,23.1,23.7,22.9,23.1,22.3,24.7,24.2,22.0
7,22.6,22.3,22.2,22.5,22.4,23.4,22.5,22.6,22.4,23.0,20.5
8,22.8,22.5,23.1,21.5,23.0,22.8,22.0,22.4,23.1,22.8,20.5
9,22.4,22.0,21.7,22.3,22.0,22.5,21.5,22.1,23.1,23.1,20.5
10,21.6,21.0,21.2,21.5,21.6,21.2,21.2,20.9,22.1,21.3,20.5
11,21.1,19.7,19.3,19.7,19.5,19.8,18.7,21.2,19.3,21.3,20.5
12,19.7,19.9,17.7,17.9,18.3,16.4,19.5,18.7,17.6,18.3,20.5
