MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,9.0,17.0,0.0,16.0,9.0,10.0,24.3,27.7,0.01,86.7,24.0
2,0.01,8.0,1.5,16.0,2.0,0.01,8.1,0.01,61.0,1.9,23.0
3,25.0,8.0,63.0,16.0,11.9,0.01,4.2,0.2,1.9,0.01,0.01
4,7.5,5.0,7.0,4.0,5.0,13.2,0.01,16.3,9.0,0.0,0.0
5,2.0,0.5,21.0,28.0,26.3,64.1,19.0,4.0,6.5,0.0,1.5
6,97.0,84.0,66.5,32.0,43.6,85.0,43.0,78.2,101.5,72.1,9.702
7,37.5,34.5,78.0,86.0,34.0,27.3,68.0,86.0,64.5,112.2,9.702
8,61.0,160.2,62.5,36.0,16.0,69.3,46.0,21.0,79.0,114.6,9.702
9,34.0,38.0,41.0,41.3,43.9,61.5,44.0,80.1,46.3,51.0,9.702
10,28.0,36.5,58.0,29.0,29.2,41.0,37.0,10.9,76.0,148.3,9.702
11,21.5,16.0,17.5,8.9,4.0,56.3,16.3,36.0,5.0,5.0,9.702
12,0.01,45.0,8.9,8.9,0.01,0.0,0.0,7.8,10.5,22.0,9.702
