MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,21.0,21.2,23.6,21.1,22.9,22.7,22.3,22.0,23.4,23.0,21.9
2,21.7,22.0,24.4,23.8,24.4,23.6,23.0,21.6,23.2,22.8,23.8
3,23.8,25.6,25.0,25.7,24.2,26.0,25.2,23.8,26.2,26.7,25.9
4,28.4,27.6,27.5,26.8,25.4,28.9,27.2,27.3,27.1,28.1,26.6
5,29.1,29.8,29.5,28.5,28.4,28.9,29.0,29.3,28.9,31.8,29.8
6,28.4,29.0,29.0,28.2,28.9,28.6,28.2,27.4,29.5,30.5,25.6
7,28.5,28.6,27.4,28.2,28.0,28.9,27.7,27.9,28.8,27.9,25.6
8,29.0,28.2,28.9,27.8,29.3,27.8,27.6,28.0,28.1,28.3,25.6
9,28.8,28.1,27.9,28.4,28.5,27.4,28.0,26.4,28.5,28.7,25.6
10,28.0,27.2,26.6,26.6,26.4,26.8,27.7,25.6,26.9,26.2,25.6
11,26.3,25.2,24.5,24.2,24.1,25.1,24.0,24.6,24.0,25.9,25.6
12,24.9,24.5,22.3,23.0,23.4,21.8,24.4,22.6,23.1,23.9,25.6
