MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,30.0,31.0,35.0,31.0,31.0,32.0,32.0,33.5,33.5,31.0,32.0
2,30.0,36.0,36.0,34.0,40.0,35.0,34.0,32.0,34.0,35.5,35.0
3,35.0,37.0,34.5,35.0,35.0,38.0,37.0,37.0,39.0,43.5,39.0
4,42.0,41.0,42.0,38.0,36.0,42.0,39.5,38.0,38.0,38.5,37.0
5,37.0,38.0,38.0,37.0,39.0,38.0,40.0,37.5,38.0,43.5,39.0
6,35.5,38.0,40.0,36.0,37.0,38.0,38.0,36.0,38.0,42.5,36.4
7,36.0,36.0,36.0,37.0,36.0,36.5,36.0,35.0,37.5,36.0,36.4
8,36.0,36.0,37.0,35.5,37.0,38.0,36.0,37.0,37.0,35.0,36.4
9,38.0,35.0,36.0,37.0,38.0,37.0,37.0,34.0,36.5,36.5,36.4
10,35.0,36.0,36.0,36.0,34.0,36.0,37.0,33.0,36.0,35.0,36.4
11,34.0,35.0,34.0,34.0,33.5,33.0,33.0,32.0,33.0,34.0,36.4
12,35.0,33.0,32.0,36.5,34.0,32.0,34.5,31.0,34.0,32.0,36.4
