MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,14.0,11.5,12.0,11.0,13.0,15.0,15.0,13.0,13.0,14.0,11.0
2,14.0,13.0,12.0,13.0,14.0,14.5,14.0,10.0,15.0,13.0,14.0
3,14.0,17.0,17.0,18.0,17.0,16.0,16.0,11.5,16.0,17.0,16.0
4,17.0,19.0,19.0,17.0,15.0,21.0,17.0,18.0,19.5,18.5,15.0
5,20.0,20.0,19.0,22.0,20.0,21.0,21.0,22.0,19.0,19.0,18.0
6,21.0,21.0,22.0,21.0,20.0,22.0,21.0,20.0,19.0,23.0,14.8
7,22.0,21.0,21.0,21.0,20.0,22.0,21.0,21.0,22.0,21.0,14.8
8,21.0,21.0,21.0,21.0,22.0,21.0,21.0,21.0,21.0,21.0,14.8
9,22.0,21.0,20.0,21.0,21.0,20.0,21.0,19.0,22.0,22.0,14.8
10,21.0,18.0,18.0,19.0,18.0,18.0,18.0,19.0,18.0,19.0,14.8
11,19.0,17.0,16.0,11.0,16.0,18.0,17.0,17.0,15.0,16.0,14.8
12,17.0,16.0,10.0,13.0,15.0,14.5,16.0,14.0,15.0,16.0,14.8
