MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,16.4,16.4,17.2,16.0,17.6,18.0,17.7,16.9,17.5,17.9,16.7
2,16.4,16.6,17.9,18.0,18.4,18.2,17.3,16.2,17.6,16.7,18.6
3,18.9,20.0,19.6,20.1,18.8,19.6,19.4,17.7,19.7,21.3,19.5
4,22.5,22.2,21.5,21.4,18.8,23.2,21.7,21.6,21.7,22.4,20.8
5,23.8,24.5,23.8,23.5,22.9,23.8,23.6,23.9,23.3,25.2,23.3
6,23.4,23.6,24.0,23.0,23.7,23.6,23.4,22.3,24.5,25.3,19.779999999999998
7,23.0,23.0,22.3,22.5,22.2,23.5,22.4,22.5,23.5,23.3,19.779999999999998
8,23.3,22.9,23.1,22.4,23.5,22.8,22.5,22.4,22.9,23.0,19.779999999999998
9,23.2,22.7,22.9,22.6,22.7,22.4,22.7,21.9,22.9,23.6,19.779999999999998
10,22.8,21.5,21.4,21.9,21.6,20.9,22.3,20.9,21.8,21.4,19.779999999999998
11,21.6,19.7,18.5,18.7,19.4,19.6,18.6,20.1,19.4,20.4,19.779999999999998
12,19.7,19.4,16.4,16.9,17.8,16.5,18.3,17.1,18.5,18.5,19.779999999999998
