MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,160.0,46.4,29.5,64.5,24.4,22.0,42.3,70.0,27.0,235.0,41.0
2,16.5,10.0,46.7,29.8,2.3,160.0,19.7,52.0,79.5,32.0,142.5
3,280.5,152.0,28.2,112.5,20.3,10.0,21.6,12.5,35.0,3.0,1.0
4,20.0,0.0,10.4,52.0,0.0,27.0,59.0,2.0,20.0,0.0,3.5
5,16.0,4.0,47.5,0.0,37.3,168.5,20.0,50.0,85.0,5.0,40.0
6,9.0,151.5,147.6,15.0,65.8,170.0,139.8,92.5,25.0,95.0,77.0
7,39.0,165.0,52.0,20.0,42.0,23.5,24.3,20.0,179.4,27.0,50.833333333333336
8,141.0,60.0,70.0,85.0,35.0,62.5,63.0,40.0,60.0,82.0,50.833333333333336
9,67.5,74.0,63.4,38.4,120.0,70.0,50.2,189.5,155.4,178.5,50.833333333333336
10,118.0,57.5,191.3,145.5,285.0,385.0,252.5,195.0,174.6,235.0,50.833333333333336
11,62.5,115.5,36.5,159.8,90.0,128.4,55.0,160.0,402.0,21.0,50.833333333333336
12,195.5,129.0,11.6,59.0,80.0,188.4,41.0,168.5,60.0,46.0,50.833333333333336
