MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,413.0,83.0,109.8,279.6,86.2,48.0,217.0,295.1,80.0,315.5,214.0
2,49.0,25.5,69.3,47.8,5.1,279.3,44.2,155.9,130.5,43.5,299.8
3,380.0,186.8,71.9,118.5,30.5,10.0,50.0,33.5,76.5,7.5,2.0
4,39.0,0.0,18.7,100.0,0.0,38.5,78.5,3.5,31.5,0.0,3.5
5,38.0,7.5,78.8,0.0,40.3,307.5,58.5,121.7,90.2,5.0,125.5
6,30.5,364.4,342.7,31.0,181.0,366.8,355.2,467.1,66.0,326.5,266.5
7,65.0,259.0,329.6,81.0,206.3,73.3,115.4,79.1,414.1,198.0,151.88333333333333
8,295.0,168.0,319.7,220.2,168.0,180.2,292.0,120.0,259.8,325.5,151.88333333333333
9,269.5,363.3,364.3,119.5,266.3,361.2,130.0,805.9,393.7,581.5,151.88333333333333
10,503.0,571.5,995.6,441.4,553.6,536.0,911.4,556.7,505.5,754.3,151.88333333333333
11,327.0,491.4,147.8,271.7,394.7,729.1,265.7,396.5,694.8,72.0,151.88333333333333
12,582.1,198.0,31.8,124.2,204.5,360.8,100.5,352.5,178.6,64.5,151.88333333333333
