MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,21.1,22.3,24.2,20.1,21.1,21.9,21.3,20.4,22.5,22.0,20.6
2,22.4,22.5,25.9,24.4,23.4,22.4,22.2,20.4,22.0,21.8,22.4
3,24.6,27.8,27.0,26.3,23.1,25.0,24.3,23.1,25.2,26.1,24.3
4,30.7,30.2,28.6,27.1,25.7,29.0,26.9,26.9,27.0,28.0,24.8
5,30.6,32.1,30.4,29.4,30.5,28.0,28.0,28.7,27.9,31.2,28.0
6,30.0,30.2,29.3,29.0,28.1,26.1,26.7,25.6,29.0,27.6,25.9
7,30.5,29.6,27.8,28.5,26.1,26.8,26.7,26.5,26.6,26.0,24.333333333333332
8,30.6,29.5,28.3,27.5,26.6,26.4,26.3,26.4,26.9,25.7,24.333333333333332
9,29.4,29.0,27.4,27.2,25.5,26.0,26.2,24.6,26.2,26.0,24.333333333333332
10,27.6,28.1,25.1,26.0,24.4,24.6,25.8,24.4,25.5,23.5,24.333333333333332
11,26.4,24.6,24.4,23.1,22.2,23.1,22.6,23.2,22.8,23.5,24.333333333333332
12,24.6,25.3,22.7,21.8,21.5,20.9,23.0,22.2,21.8,21.5,24.333333333333332
