MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,25.2,27.4,31.4,25.1,26.3,27.1,26.2,25.6,28.4,27.8,25.5
2,27.9,28.7,34.0,30.7,29.9,28.1,28.5,25.6,28.1,29.0,28.2
3,30.0,35.5,35.1,33.8,29.4,31.8,30.9,29.5,32.7,33.7,31.2
4,38.3,38.2,37.8,35.1,34.2,36.5,34.1,34.8,34.9,36.4,32.5
5,38.4,41.3,39.2,38.1,39.3,35.0,35.2,36.5,35.8,40.9,36.0
6,37.3,38.2,37.3,37.1,35.2,31.2,32.6,31.2,36.6,34.5,31.9
7,38.0,37.3,34.5,36.2,32.3,32.6,32.5,32.0,32.8,31.6,30.883333333333336
8,38.1,37.0,35.3,34.2,32.6,31.9,32.1,32.4,32.9,30.9,30.883333333333336
9,36.1,36.5,33.7,33.5,30.7,30.9,31.7,29.5,32.2,31.4,30.883333333333336
10,33.7,35.4,30.5,31.6,28.9,29.6,31.0,29.6,31.0,28.4,30.883333333333336
11,31.5,30.5,30.5,27.8,26.8,27.9,27.6,27.8,27.9,29.3,30.883333333333336
12,29.8,31.2,28.5,27.3,26.8,25.8,28.7,27.4,27.3,27.1,30.883333333333336
