MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,14.5,12.5,14.0,12.0,12.0,13.0,13.0,12.5,13.0,12.5,11.5
2,14.0,11.5,11.0,14.5,15.0,13.5,11.0,11.5,13.5,12.0,13.0
3,14.0,17.0,17.0,17.5,14.0,14.0,15.5,12.0,14.0,16.0,14.0
4,20.0,19.0,17.0,16.0,14.0,18.0,14.0,14.5,15.0,17.0,13.0
5,20.5,18.0,16.0,18.0,20.0,19.0,19.0,19.0,16.5,20.0,16.0
6,21.0,20.0,20.5,19.0,18.0,19.0,19.5,18.0,19.0,19.0,17.0
7,21.0,20.5,20.0,19.0,18.0,19.5,18.5,19.5,19.0,19.0,14.083333333333334
8,21.0,20.0,19.5,19.0,18.0,19.0,18.0,19.0,19.0,19.0,14.083333333333334
9,20.0,20.5,19.5,19.5,19.0,19.0,19.5,18.5,19.0,19.0,14.083333333333334
10,20.0,18.5,18.0,19.0,18.0,17.0,18.5,17.0,17.0,17.0,14.083333333333334
11,19.0,16.0,15.0,11.0,15.0,9.5,15.0,17.0,14.0,13.0,14.083333333333334
12,17.0,17.0,12.0,11.0,12.0,13.0,14.0,13.0,12.0,13.0,14.083333333333334
