MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,17.0,17.2,17.1,15.1,16.0,16.7,16.4,15.2,16.7,16.1,15.6
2,16.9,16.4,17.8,18.1,17.0,16.6,15.9,15.1,15.9,14.5,16.5
3,19.1,20.0,18.9,18.9,16.9,18.1,17.7,16.8,17.6,18.5,17.4
4,23.1,22.1,19.4,19.1,17.1,21.4,19.6,19.0,19.0,19.5,17.1
5,22.9,22.9,21.5,20.6,21.8,21.0,20.9,20.9,20.0,21.6,20.1
6,22.6,22.2,21.4,20.8,21.0,21.0,20.8,20.1,21.5,20.8,19.8
7,23.0,21.9,21.1,20.8,20.0,20.9,20.9,21.0,20.4,20.5,17.75
8,23.2,22.0,21.4,20.7,20.5,21.0,20.5,20.4,20.9,20.5,17.75
9,22.6,21.5,21.1,20.9,20.3,21.2,20.7,19.8,20.2,20.6,17.75
10,21.5,20.8,19.8,20.4,20.0,19.7,20.5,19.1,20.0,18.6,17.75
11,21.4,18.8,18.2,18.5,17.7,18.4,17.6,18.7,17.6,17.6,17.75
12,19.5,19.4,16.9,16.2,16.1,16.0,17.3,17.0,16.2,15.9,17.75
