MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,28.0,8.0,3.2,76.0,11.3,33.6,74.0,32.8,24.7,32.4,17.5
2,0.01,0.01,5.7,20.0,8.4,14.0,6.9,15.6,9.2,13.0,6.7
3,33.3,9.0,13.3,8.0,8.0,2.2,4.4,9.6,26.3,34.0,6.0
4,9.8,15.5,6.9,13.0,1.5,14.0,11.9,3.6,21.5,26.5,1.3
5,8.0,36.0,42.0,2.0,15.7,15.0,61.5,13.0,13.1,0.0,29.2
6,20.0,15.0,12.0,29.5,66.5,68.5,66.4,75.5,25.1,163.7,47.0
7,15.0,20.0,20.0,24.0,30.5,7.9,48.0,20.0,30.0,34.4,17.95
8,8.0,40.0,404.0,25.0,21.0,28.3,54.0,14.2,40.0,21.0,17.95
9,12.0,24.5,96.0,20.3,24.1,108.5,39.5,36.4,10.5,86.0,17.95
10,16.0,67.0,74.0,27.7,126.0,18.0,71.0,45.3,43.0,78.0,17.95
11,12.0,47.0,15.0,75.0,12.6,50.3,44.0,4.6,29.6,33.2,17.95
12,5.0,45.0,1.0,17.2,7.7,12.1,4.7,18.0,34.0,12.6,17.95
