MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,82.05,14.13,10.9,167.6,28.2,69.2,211.7,65.2,30.2,62.2,52.12
2,0.06,0.04,11.3,24.0,22.7,37.8,9.0,26.1,17.9,31.2,22.0
3,94.42,15.11,46.0,33.1,22.2,2.9,14.2,23.6,37.21,44.3,14.0
4,9.85,28.56,16.3,31.1,3.7,35.31,27.8,12.1,77.0,29.01,3.2
5,19.89,42.08,112.0,3.4,22.3,43.42,136.1,22.3,22.7,0.0,98.85
6,63.1,114.73,75.3,103.8,226.3,322.8,281.4,296.5,60.9,485.05,323.8
7,54.08,78.1,106.3,77.4,148.1,45.51,140.6,77.0,202.9,187.6,85.66166666666668
8,27.22,82.94,561.1,149.5,96.3,179.6,201.5,115.41,256.7,142.21,85.66166666666668
9,34.12,125.8,424.0,105.1,108.7,330.8,228.5,332.5,35.2,430.3,85.66166666666668
10,57.09,226.4,345.4,148.2,297.93,21.3,168.9,205.8,206.91,282.51,85.66166666666668
11,12.14,121.7,31.3,118.2,55.32,129.1,98.1,19.8,76.0,40.9,85.66166666666668
12,5.11,140.4,1.8,39.9,24.31,18.5,7.3,30.61,111.9,40.1,85.66166666666668
