MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,30.7,10.8,11.0,38.5,12.0,37.0,28.0,50.0,11.0,66.0,42.0
2,8.4,15.2,25.7,20.0,4.0,23.0,8.0,12.0,28.0,18.5,30.0
3,11.5,19.0,38.0,13.5,8.5,6.0,24.0,3.0,61.5,13.0,10.0
4,30.7,14.2,60.0,40.0,5.5,15.0,2.0,3.0,3.0,83.0,2.0
5,35.2,16.5,42.7,0.0,25.0,32.0,13.5,54.0,29.5,0.0,45.0
6,65.7,40.0,28.5,35.0,80.0,71.0,248.0,103.0,96.0,50.0,25.8
7,140.0,72.0,123.0,28.5,15.0,18.0,72.0,64.0,168.5,29.0,25.8
8,66.4,120.0,10.0,85.0,30.0,86.0,169.0,25.5,119.0,56.0,25.8
9,122.0,107.5,198.0,87.0,52.0,260.0,128.0,80.0,63.0,47.0,25.8
10,140.0,100.0,121.2,210.0,127.0,60.0,395.0,85.0,149.0,237.0,25.8
11,109.0,54.5,70.0,124.5,95.0,145.0,65.0,134.0,45.0,26.0,25.8
12,10.0,71.5,45.0,90.0,4.4,55.0,21.0,84.0,85.0,55.0,25.8
