MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,81.41,32.52,22.33,136.92,43.92,131.01,71.54,114.04,16.51,103.01,126.0
2,19.62,58.11,56.2,53.01,7.2,82.52,30.54,21.52,32.5,19.5,77.3
3,22.03,28.91,106.6,21.9,12.5,10.0,50.03,3.02,61.5,25.5,10.0
4,59.1,17.21,67.7,91.9,5.5,15.0,2.02,4.0,8.51,83.0,2.0
5,81.6,23.9,63.44,0.0,30.01,60.53,41.5,134.0,30.5,0.0,51.0
6,126.34,112.12,79.14,90.42,274.6,218.93,496.56,298.6,119.53,151.01,53.260000000000005
7,226.04,180.45,249.31,63.43,41.5,42.01,178.0,172.51,311.5,156.0,53.260000000000005
8,177.52,307.22,29.31,230.75,46.32,326.82,395.03,55.72,344.51,161.01,53.260000000000005
9,250.76,316.91,669.03,148.8,231.93,595.64,490.51,481.33,97.52,202.01,53.260000000000005
10,550.61,620.75,517.93,909.71,488.72,190.52,643.51,288.51,305.5,780.5,53.260000000000005
11,382.93,150.21,133.5,144.42,361.94,411.51,281.03,293.52,187.01,80.0,53.260000000000005
12,31.93,218.51,164.72,213.93,4.44,123.04,41.0,176.03,192.52,66.5,53.260000000000005
