MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,20.8,21.1,23.8,20.5,22.0,22.9,23.0,22.8,23.8,23.4,22.9
2,21.2,21.6,24.8,24.1,24.4,23.5,22.8,22.6,23.4,24.1,24.3
3,23.6,25.9,25.0,26.1,24.5,26.0,26.1,24.6,27.8,27.0,26.8
4,28.2,28.9,27.8,26.8,26.6,29.4,28.0,27.8,28.9,27.9,27.6
5,28.0,29.6,29.1,28.7,30.9,29.0,29.5,30.0,29.7,32.9,31.4
6,27.9,28.6,28.6,29.2,28.6,28.1,29.0,27.7,30.7,30.2,26.6
7,28.0,28.1,27.6,28.1,28.3,28.8,28.7,28.4,29.1,28.6,26.6
8,28.6,28.0,28.3,27.7,29.0,28.2,28.4,29.0,29.0,28.8,26.6
9,28.0,27.4,27.3,28.0,27.6,27.1,28.3,26.8,29.0,29.2,26.6
10,26.4,25.9,25.9,26.0,26.6,28.0,27.4,25.9,27.2,26.5,26.6
11,25.1,24.4,24.1,24.0,23.7,24.5,23.8,25.0,24.0,26.5,26.6
12,24.2,24.0,22.0,23.0,22.3,21.3,24.0,22.8,22.5,24.2,26.6
