MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,24.0,25.4,29.1,24.2,26.1,26.9,27.4,27.6,29.0,27.5,26.8
2,25.7,26.4,30.5,28.7,29.4,27.5,27.7,28.4,28.7,31.0,28.8
3,28.0,31.6,30.6,30.9,29.2,32.0,32.3,31.0,34.7,32.9,33.0
4,33.6,34.5,33.5,32.1,33.4,35.5,34.4,34.2,35.0,33.2,34.1
5,33.0,35.8,34.9,34.7,37.3,34.7,36.1,37.4,36.2,38.7,37.0
6,32.6,34.1,33.5,34.6,33.5,32.5,34.5,32.4,37.1,35.1,31.939999999999998
7,32.9,32.8,31.9,33.2,33.5,33.9,33.9,33.7,34.5,32.7,31.939999999999998
8,33.8,32.5,33.3,32.5,34.6,32.6,33.2,34.9,34.0,33.0,31.939999999999998
9,32.6,31.9,31.4,33.2,32.3,31.6,33.3,30.6,35.1,33.3,31.939999999999998
10,30.4,29.5,29.2,29.3,30.1,33.4,31.7,30.1,31.6,30.7,31.939999999999998
11,28.1,28.3,28.5,27.6,27.3,28.1,27.9,29.3,27.3,32.0,31.939999999999998
12,28.2,27.6,25.8,27.1,26.6,25.7,28.7,26.8,25.9,29.5,31.939999999999998
