MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,13.5,10.5,13.0,12.5,11.0,15.0,16.0,14.0,11.0,14.0,13.0
2,12.5,12.0,13.5,14.5,14.0,15.0,12.0,11.0,13.0,12.0,12.0
3,15.0,16.5,13.5,19.0,15.5,13.0,16.0,11.0,16.0,14.0,15.0
4,19.0,19.0,20.0,15.0,13.0,20.0,16.0,15.0,18.0,20.0,15.0
5,19.0,12.0,17.0,20.0,22.0,20.5,20.0,19.0,15.0,24.0,19.0
6,21.0,21.5,23.0,21.0,18.5,21.5,20.0,21.0,21.0,23.0,14.8
7,21.0,21.0,22.0,21.0,20.0,22.5,22.0,20.0,22.0,23.0,14.8
8,22.0,23.0,22.0,22.0,21.0,22.5,22.0,21.0,20.0,24.0,14.8
9,22.0,21.0,19.0,21.5,21.5,21.0,22.0,21.0,14.0,24.0,14.8
10,21.0,19.0,20.0,21.0,21.0,17.5,21.0,19.0,19.0,18.0,14.8
11,18.5,16.0,15.5,15.0,13.0,19.0,15.0,19.0,16.0,15.0,14.8
12,17.0,17.0,13.0,11.5,13.0,11.0,14.5,14.0,10.0,17.0,14.8
