MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,10.0,10.0,0.0,11.0,0.01,10.0,31.0,25.0,0.01,68.0,28.0
2,0.0,8.0,0.01,20.0,0.01,0.01,5.0,0.01,3.0,3.0,23.0
3,24.0,0.01,45.0,4.0,0.0,0.0,0.01,1.0,3.0,0.01,0.0
4,12.0,2.0,0.01,70.0,30.0,7.0,0.0,0.0,8.0,2.0,0.01
5,22.0,24.0,65.0,16.0,16.0,18.0,17.0,10.0,4.0,0.0,5.0
6,81.0,30.0,52.0,34.0,36.0,81.0,79.0,97.0,46.0,72.0,11.202
7,44.0,52.0,67.0,27.0,40.0,82.0,69.0,67.0,63.5,119.0,11.202
8,92.0,89.0,50.0,30.0,31.0,40.0,31.0,25.0,108.0,99.0,11.202
9,9.0,43.0,60.0,46.0,48.0,69.0,128.5,95.0,55.0,46.5,11.202
10,22.0,10.0,60.0,28.0,41.0,48.0,42.0,8.0,53.0,189.0,11.202
11,65.0,24.0,15.0,5.0,12.0,22.0,22.0,20.5,3.0,30.0,11.202
12,0.01,33.0,0.01,11.0,0.0,0.0,0.01,10.5,13.0,10.0,11.202
