MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,25.03,12.03,0.0,15.02,0.02,14.08,36.07,25.03,0.02,78.02,47.54
2,0.0,8.02,0.01,24.03,0.02,0.01,7.02,0.02,3.05,3.02,26.83
3,48.07,0.02,79.03,4.01,0.0,0.0,0.02,1.01,4.52,0.01,0.0
4,28.01,2.04,0.02,77.03,30.0,7.01,0.0,0.0,12.54,2.0,0.01
5,64.03,24.0,145.0,22.01,22.02,33.33,26.02,17.11,6.07,0.0,8.03
6,261.03,102.03,137.0,142.05,84.04,169.02,305.03,323.02,118.54,261.7,16.482000000000003
7,200.33,221.04,259.02,97.01,129.0,261.02,345.51,226.03,256.04,553.01,16.482000000000003
8,247.05,275.04,201.09,149.06,41.02,241.01,218.53,100.02,423.52,283.04,16.482000000000003
9,36.12,244.1,281.07,112.02,173.04,203.57,236.02,449.03,94.02,119.6,16.482000000000003
10,27.07,13.04,108.56,86.05,142.04,81.55,94.53,24.03,109.55,276.04,16.482000000000003
11,88.06,35.05,31.01,8.0,29.03,39.54,73.05,34.56,3.05,31.02,16.482000000000003
12,0.01,54.12,0.04,17.01,0.0,0.0,0.02,18.53,25.57,15.04,16.482000000000003
