MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,72.9,14.5,15.6,120.0,9.0,85.6,34.2,96.0,11.6,25.6,27.3
2,5.3,5.5,97.2,25.7,17.1,28.1,31.7,42.8,25.8,34.7,10.8
3,29.5,36.2,34.3,42.5,24.7,18.0,40.0,21.8,85.5,28.4,17.1
4,41.8,24.4,12.3,55.5,7.4,167.1,26.2,3.5,114.3,19.7,12.5
5,66.3,20.0,87.2,25.8,1.8,76.5,123.0,8.1,82.3,0.8,39.5
6,79.2,41.3,49.8,42.7,36.5,64.3,118.6,54.3,8.9,159.0,33.8
7,18.1,46.2,66.7,38.0,30.3,73.26666666666667,28.1,33.5,28.2,70.9,23.5
8,6.9,196.2,97.1,19.6,21.1,73.26666666666667,77.0,18.5,49.5,50.6,23.5
9,79.6,88.3,121.0,70.8,20.1,73.26666666666667,51.2,79.2,68.6,88.1,23.5
10,121.9,64.1,101.2,42.8,103.1,73.26666666666667,168.5,112.7,121.1,94.9,23.5
11,96.2,102.9,25.5,52.5,55.2,73.26666666666667,173.1,33.7,59.2,83.7,23.5
12,22.5,46.8,57.1,25.1,21.3,73.26666666666667,27.6,23.7,30.9,44.6,23.5
