MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,163.52,30.05,32.91,240.83,36.72,160.72,141.21,194.3,24.9,135.4,110.2
2,21.23,14.51,202.8,57.85,28.71,113.72,85.71,110.7,47.5,70.51,52.8
3,111.58,84.33,90.94,167.32,74.6,32.32,62.5,76.3,136.9,66.5,17.51
4,100.87,45.12,21.62,177.46,7.42,216.24,61.01,5.2,364.3,42.4,14.9
5,69.72,72.15,160.61,26.2,4.54,262.13,232.41,10.9,116.1,0.8,71.0
6,151.34,181.55,71.24,64.69,146.54,195.71,353.8,180.8,23.9,474.5,219.7
7,63.77,119.24,219.25,90.38,42.03,163.47333333333333,76.0,83.7,166.9,182.9,81.01833333333333
8,28.74,257.31,232.67,75.11,24.82,163.47333333333333,93.5,67.6,216.4,172.2,81.01833333333333
9,214.76,254.25,456.93,123.44,52.31,163.47333333333333,170.4,338.3,92.0,255.7,81.01833333333333
10,274.33,200.82,372.72,183.61,338.72,163.47333333333333,353.7,259.0,533.2,286.4,81.01833333333333
11,276.63,324.02,57.64,159.21,179.11,163.47333333333333,369.6,106.6,200.3,111.7,81.01833333333333
12,77.31,134.7,98.13,85.9,42.11,163.47333333333333,37.4,56.01,176.4,75.9,81.01833333333333
