MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,20.0,20.8,22.0,19.5,21.2,22.3,21.9,21.7,22.6,22.5,21.6
2,20.6,20.8,23.9,23.4,24.0,23.1,22.9,21.6,23.6,22.2,23.5
3,23.5,25.8,25.1,25.8,24.5,25.8,25.5,24.3,26.8,26.5,25.6
4,28.5,27.8,27.4,26.6,26.6,30.1,28.0,27.4,28.4,28.5,26.8
5,28.3,29.6,29.4,28.0,31.2,29.4,29.5,29.2,29.0,33.1,30.0
6,27.7,28.3,27.8,28.2,29.4,27.9,28.0,26.6,30.0,30.2,27.6
7,28.0,27.5,27.0,27.8,27.9,28.5,27.6,27.4,27.6,27.8,25.849999999999998
8,28.2,27.4,28.0,27.1,28.5,27.8,27.0,27.5,28.1,27.6,25.849999999999998
9,27.1,26.5,27.0,27.1,27.0,27.0,27.0,26.0,27.4,27.6,25.849999999999998
10,25.6,25.0,25.0,25.6,26.0,25.2,26.0,24.8,26.0,24.8,25.849999999999998
11,24.5,23.0,22.5,23.4,22.9,23.4,22.0,24.0,23.4,24.0,25.849999999999998
12,23.4,23.1,21.1,21.9,21.7,20.9,23.0,22.0,21.7,21.9,25.849999999999998
