MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,23.3,24.5,26.6,23.0,24.8,25.8,25.7,25.6,27.2,26.1,25.2
2,25.5,25.0,29.4,27.9,29.4,27.6,27.8,26.3,28.1,27.6,27.9
3,28.3,30.9,30.7,31.3,29.9,31.8,31.2,29.7,32.5,32.3,31.5
4,34.5,33.3,33.5,32.3,33.5,36.6,34.3,33.4,34.6,34.7,33.0
5,33.7,35.2,35.3,34.3,37.8,35.4,35.1,35.2,35.0,40.1,36.4
6,32.3,33.2,32.5,33.1,34.5,32.8,32.8,30.9,35.2,35.6,31.6
7,32.6,32.0,31.3,32.8,32.8,33.8,32.3,31.8,32.4,32.0,30.933333333333334
8,33.5,31.9,32.9,31.7,33.8,32.8,31.7,32.4,32.7,32.0,30.933333333333334
9,31.7,30.8,31.2,31.6,31.8,31.5,31.4,29.8,32.3,31.8,30.933333333333334
10,29.7,29.0,28.7,29.4,30.0,29.8,30.1,29.0,30.0,28.3,30.933333333333334
11,27.9,26.6,26.9,27.1,26.4,27.0,26.0,27.8,26.6,28.6,30.933333333333334
12,26.5,27.0,25.0,25.5,25.7,24.8,27.3,25.8,25.1,25.6,30.933333333333334
