MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,12.0,10.5,13.0,12.5,13.0,15.0,15.0,13.5,13.5,13.5,14.5
2,12.0,11.0,11.0,16.0,16.5,15.0,12.0,13.0,16.0,13.5,13.0
3,15.5,18.0,14.0,17.0,16.0,14.0,14.5,14.0,18.0,16.5,15.0
4,14.5,19.5,17.0,16.0,14.0,21.0,16.5,16.5,19.0,17.0,14.5
5,20.0,17.5,17.0,18.0,22.5,20.5,22.0,19.5,17.0,24.0,18.0
6,20.5,22.0,21.5,20.5,21.5,19.0,21.5,20.5,22.0,23.0,22.0
7,21.0,21.5,21.0,20.5,21.0,22.0,21.0,21.5,14.0,22.0,16.166666666666668
8,21.5,22.0,21.5,21.0,20.0,21.0,20.5,21.0,21.0,22.0,16.166666666666668
9,21.0,21.0,20.0,22.0,18.5,21.0,21.0,19.5,21.5,21.5,16.166666666666668
10,19.0,18.0,17.0,20.0,17.0,17.5,17.5,17.5,18.0,18.0,16.166666666666668
11,17.0,15.5,15.0,15.0,17.0,17.5,15.5,17.5,16.5,15.5,16.166666666666668
12,17.0,16.0,12.0,12.5,14.0,12.5,15.5,13.5,12.0,16.5,16.166666666666668
