MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,16.6,17.1,17.3,16.0,17.6,18.8,18.1,17.8,18.0,18.8,18.0
2,15.6,16.6,18.3,18.9,18.7,18.6,17.9,16.9,19.0,16.8,19.2
3,18.7,20.6,19.5,20.3,19.1,19.8,19.8,18.9,21.1,20.8,19.7
4,22.5,22.4,21.4,20.9,19.8,23.6,21.6,21.3,22.1,22.2,20.6
5,22.9,24.0,23.5,21.6,24.7,23.3,23.9,23.3,23.1,26.2,23.7
6,23.1,23.4,23.1,23.3,24.3,23.0,23.1,22.3,24.8,24.8,23.6
7,23.3,23.0,22.8,22.8,23.0,23.3,23.0,23.0,22.9,23.6,20.8
8,23.0,23.0,23.1,22.5,23.2,22.9,22.3,22.7,23.5,23.1,20.8
9,22.6,22.2,22.8,22.7,22.1,22.6,22.7,22.2,22.5,23.5,20.8
10,21.5,20.9,21.2,21.8,21.9,20.6,22.0,20.5,22.1,21.2,20.8
11,21.2,19.3,18.1,19.7,19.3,19.9,18.0,20.2,20.2,19.5,20.8
12,20.2,19.2,17.2,18.3,17.7,16.9,18.6,18.2,18.3,18.1,20.8
