MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,19.3,30.7,0.02,24.72,26.81,57.92,43.42,24.42,2.82,65.54,74.41
2,0.2,10.32,11.0,34.71,0.7,30.41,18.3,0.02,11.21,3.31,26.61
3,48.92,3.1,100.51,1.51,0.0,10.62,25.91,0.62,0.02,3.51,8.6
4,32.0,2.7,12.0,56.92,3.0,9.11,0.01,11.2,12.21,8.7,0.0
5,25.3,22.31,117.01,67.2,50.11,50.9,154.5,64.2,0.01,0.01,1.12
6,188.41,135.63,173.5,261.6,174.01,249.3,197.7,260.5,247.71,164.4,22.148
7,217.83,230.41,359.8,221.2,185.51,92.4,391.71,221.5,316.0,645.7,22.148
8,278.91,275.91,138.5,319.32,66.81,295.6,216.73,246.5,379.22,345.62,22.148
9,89.02,333.8,296.6,169.5,188.92,218.81,184.31,490.94,158.94,150.33,22.148
10,170.71,131.03,230.71,130.9,90.62,102.3,201.8,83.93,163.84,475.53,22.148
11,71.43,142.21,89.02,4.2,83.71,51.62,211.6,48.85,2.74,36.83,22.148
12,0.02,59.31,40.91,16.2,23.9,0.01,0.0,21.03,57.22,12.83,22.148
