MES,2015,2016,2017,2018,2019,2020,2024,2025
1,11.3,11.9,13.1,10.9,14.0,14.9,20.1,13.5
2,12.1,12.8,15.0,15.4,15.0,14.2,20.1,15.8
3,14.5,16.0,16.8,17.2,15.2,17.4,20.1,18.6
4,19.5,18.2,18.0,17.9,17.0,20.8,20.1,20.3
5,20.5,20.9,20.5,20.1,21.8,20.5,20.1,23.9
6,20.3,20.4,21.1,20.9,21.7,20.7,20.1,23.6
7,20.1,20.1,19.8,20.2,20.1,21.3,20.1,19.283333333333335
8,20.1,20.2,20.6,19.7,20.5,20.6,20.7,19.283333333333335
9,20.0,19.8,20.2,20.1,20.5,20.4,23.0,19.283333333333335
10,19.3,19.1,18.4,19.0,19.5,18.6,20.8,19.283333333333335
11,17.6,16.4,15.6,15.4,15.8,16.9,19.4,19.283333333333335
12,15.3,14.8,12.6,14.4,13.9,12.4,16.6,19.283333333333335
