MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,15.2,19.8,8.5,11.2,9.4,22.6,56.8,24.9,9.8,84.9,26.9
2,9.4,14.5,1.2,10.2,4.1,8.2,41.2,19.1,4.8,9.8,9.8
3,92.3,32.4,50.8,28.7,16.7,5.9,10.4,10.4,42.4,17.8,4.1
4,45.2,40.8,14.5,32.7,6.9,34.3,26.9,31.4,9.4,10.2,12.7
5,41.5,7.8,61.2,3.5,24.2,22.6,70.3,12.4,24.3,3.7,61.2
6,64.2,36.8,41.9,102.4,78.2,170.9,125.3,95.9,21.5,270.3,22.94
7,44.5,51.5,56.3,16.2,44.2,39.8,33.4,53.1,44.6,54.8,22.94
8,20.6,110.6,232.4,62.3,34.3,49.8,152.8,70.4,61.5,58.7,22.94
9,121.5,78.4,164.8,60.0,58.7,60.8,57.5,44.5,32.5,51.6,22.94
10,51.3,47.8,27.8,74.2,57.9,34.6,64.9,28.7,51.7,98.5,22.94
11,69.5,25.0,14.3,44.1,11.4,9.2,36.5,4.8,9.5,25.6,22.94
12,3.2,21.4,14.3,12.1,7.3,11.4,9.8,10.2,11.7,43.2,22.94
