MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,50.36,78.74,14.63,39.71,40.46,119.35,143.43,73.35,30.4,149.54,80.87
2,39.93,51.23,1.25,33.33,9.43,19.08,66.34,68.52,14.1,24.6,41.21
3,157.95,77.52,140.52,84.5,68.31,11.51,41.52,34.04,136.0,31.41,9.51
4,127.83,136.32,37.63,97.27,20.62,58.82,84.32,47.91,50.04,22.43,24.61
5,100.94,34.13,168.21,8.12,40.73,91.27,174.73,27.14,54.13,3.7,136.53
6,357.52,181.02,173.46,354.91,206.95,372.11,414.62,343.93,50.01,629.5,58.54600000000001
7,188.62,197.81,212.15,50.21,86.52,120.96,226.46,159.21,284.43,354.72,58.54600000000001
8,124.72,513.31,545.54,223.58,176.93,296.63,427.13,398.55,187.11,329.83,58.54600000000001
9,415.43,364.04,361.42,209.15,312.24,264.84,402.86,290.04,195.93,284.75,58.54600000000001
10,144.24,296.23,103.27,329.05,207.36,61.33,169.92,120.84,178.95,165.76,58.54600000000001
11,183.28,62.8,29.54,69.45,59.36,20.55,67.24,13.14,42.04,48.63,58.54600000000001
12,5.45,87.63,30.14,19.15,15.55,35.25,15.71,24.97,70.22,86.85,58.54600000000001
