MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,12.8,12.8,15.1,11.8,13.5,14.6,14.3,14.1,15.8,15.1,14.2
2,13.6,13.1,17.0,16.4,17.5,15.7,14.7,13.3,15.3,15.9,16.4
3,15.2,17.8,16.8,17.8,16.7,18.4,17.2,16.8,19.0,19.2,18.0
4,19.1,19.1,18.9,17.9,19.0,21.6,19.4,19.6,19.2,20.9,18.0
5,19.2,20.9,20.5,18.7,21.8,20.1,20.2,21.2,20.2,25.1,16.65
6,18.4,19.3,19.6,19.3,20.5,19.8,19.3,19.0,21.6,21.5,16.65
7,18.8,19.2,18.4,19.3,19.4,19.9,18.8,19.0,19.9,19.5,16.65
8,19.5,18.8,19.2,18.4,20.1,19.1,18.9,19.2,20.1,19.2,16.65
9,18.9,18.6,18.6,19.0,19.2,19.0,19.1,18.0,19.8,19.0,16.65
10,18.4,17.4,17.4,18.0,18.6,18.1,18.7,17.1,18.1,16.6,16.65
11,17.0,16.2,15.9,15.8,16.1,16.4,15.0,17.5,15.8,17.0,16.65
12,16.7,16.3,14.4,14.6,15.3,13.5,17.1,15.0,13.9,15.1,16.65
