MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,17.4,17.4,21.2,15.7,18.0,19.3,18.7,18.7,21.5,19.6,17.8
2,18.7,18.2,23.5,22.0,23.5,20.5,20.1,18.2,21.6,22.5,20.4
3,19.7,23.3,22.0,22.9,22.0,24.6,23.0,22.7,25.1,24.8,22.9
4,24.5,24.8,24.5,23.0,25.4,27.5,25.3,25.5,24.5,26.9,23.0
5,24.1,26.1,25.4,23.6,27.3,25.2,25.5,27.3,25.9,31.8,21.025
6,22.4,24.1,23.8,23.9,25.3,24.6,23.4,24.0,27.1,26.5,21.025
7,23.6,24.3,22.8,24.8,24.9,24.9,23.2,24.0,25.0,24.2,21.025
8,24.9,23.5,23.9,23.5,26.0,23.7,23.4,24.3,25.0,23.3,21.025
9,23.4,23.1,22.6,23.9,24.2,23.2,23.7,21.7,25.4,22.1,21.025
10,22.8,21.9,21.6,22.1,22.7,23.7,23.8,21.1,22.7,19.4,21.025
11,20.8,20.8,21.2,20.4,20.4,21.4,19.8,22.1,20.2,21.3,21.025
12,22.1,21.1,20.0,19.9,20.7,18.1,23.3,19.6,17.7,19.2,21.025
