MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,9.0,55.0,24.0,7.0,13.0,50.0,20.0,10.0,22.0,11.0
2,12.0,40.0,3.0,3.0,8.0,7.0,11.0,10.0,12.0,13.0
3,8.0,2.0,23.0,13.0,0.0,6.0,9.0,5.0,40.0,12.0
4,62.0,16.0,100.0,3.0,13.0,20.0,25.0,20.0,4.0,12.0
5,32.0,105.0,10.0,25.0,46.0,30.0,0.0,8.0,0.0,12.0
6,44.0,45.0,25.0,75.0,107.0,40.0,56.0,10.0,140.0,12.0
7,7.0,36.0,40.0,12.0,5.0,25.0,61.0,15.0,40.0,12.0
8,80.0,90.0,30.0,60.0,5.0,70.0,34.0,15.0,1.0,12.0
9,127.0,110.0,50.0,50.0,115.0,30.0,85.0,20.0,25.0,12.0
10,64.0,123.0,125.0,60.0,72.0,46.0,60.0,72.0,40.0,12.0
11,30.0,4.0,15.0,10.0,28.0,20.0,20.0,18.0,22.0,12.0
12,26.0,8.0,4.0,19.0,2.0,14.0,10.0,22.0,20.0,12.0
