MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,29.0,88.0,72.0,11.0,50.0,85.0,59.0,11.1,50.0,25.5
2,21.0,61.0,7.0,7.0,18.0,14.0,21.0,17.0,25.0,32.0
3,17.2,8.0,39.0,70.0,0.0,6.0,9.0,16.0,63.0,28.75
4,76.0,16.0,125.0,3.0,28.0,27.0,25.0,30.0,4.0,28.75
5,35.0,207.0,18.0,58.0,101.0,118.0,0.0,8.2,0.0,28.75
6,165.0,109.0,64.0,190.0,187.0,170.0,227.0,15.0,334.0,28.75
7,23.0,228.0,45.0,28.0,8.0,102.0,99.0,77.0,110.0,28.75
8,207.0,104.0,108.0,68.0,8.0,99.0,72.0,61.3,1.0,28.75
9,353.0,492.0,141.0,147.0,403.0,92.0,223.0,20.0,49.5,28.75
10,171.0,347.0,353.0,167.0,127.0,67.0,155.5,327.0,128.1,28.75
11,85.0,4.0,34.0,27.0,62.0,26.0,32.0,43.5,29.0,28.75
12,60.0,25.0,6.0,30.0,2.0,16.0,36.0,49.6,79.0,28.75
