MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,36.0,42.0,40.0,37.0,40.0,40.0,38.0,42.0,38.0,35.0
2,45.0,40.0,38.0,45.0,40.0,40.0,40.0,45.0,43.0,38.0
3,45.0,43.0,43.0,42.0,43.0,42.0,43.0,46.0,45.0,36.5
4,50.0,45.0,43.0,43.0,45.0,45.0,45.0,43.0,45.0,36.5
5,45.0,45.0,42.0,45.0,45.0,45.0,46.0,43.0,45.0,36.5
6,43.0,45.0,43.0,45.0,45.0,42.0,45.0,46.0,48.0,36.5
7,42.0,43.0,45.0,44.0,45.0,43.0,43.0,46.0,45.0,36.5
8,44.0,44.0,45.0,48.0,44.0,44.0,43.0,45.0,42.0,36.5
9,43.0,42.0,43.0,44.0,45.0,44.0,45.0,46.0,43.0,36.5
10,43.0,42.0,43.0,45.0,48.0,45.0,43.0,47.0,40.0,36.5
11,42.0,40.0,43.0,39.0,40.0,40.0,41.0,40.0,40.0,36.5
12,42.0,38.0,40.0,40.0,39.0,45.0,40.0,38.0,37.0,36.5
