MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,31.6,34.9,29.0,31.8,34.0,31.3,31.7,37.7,33.5,28.7
2,33.9,36.5,34.8,34.0,33.3,32.6,32.2,37.2,38.4,31.9
3,36.0,37.0,37.6,32.5,38.3,37.5,35.7,40.1,39.1,30.299999999999997
4,39.4,40.0,37.2,38.6,41.0,38.8,40.2,38.2,40.6,30.299999999999997
5,41.0,41.0,40.1,42.2,40.7,40.6,43.6,40.9,44.3,30.299999999999997
6,41.0,41.4,41.2,41.7,41.2,39.8,42.6,43.4,43.6,30.299999999999997
7,41.8,39.5,41.7,41.9,42.8,41.4,41.1,43.0,42.9,30.299999999999997
8,40.4,41.6,41.6,44.0,41.5,41.7,41.7,43.0,38.8,30.299999999999997
9,40.4,39.8,41.9,42.4,40.0,41.1,41.2,44.9,38.7,30.299999999999997
10,39.0,38.3,37.2,38.4,40.4,39.4,39.2,39.8,36.8,30.299999999999997
11,34.5,37.5,34.7,34.7,38.4,36.2,34.9,36.7,35.3,30.299999999999997
12,34.0,32.3,34.1,35.4,32.5,36.4,38.4,34.9,32.7,30.299999999999997
