MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,1.0,2.0,0.3,1.0,0.1,1.0,1.0,0.0,1.0,0.0
2,3.0,3.0,5.0,3.0,4.0,0.1,0.1,0.1,2.0,1.0
3,5.0,8.0,7.0,3.0,5.0,5.0,3.0,3.0,9.0,0.5
4,3.0,9.0,6.0,5.0,10.0,6.0,11.0,7.0,7.0,0.5
5,8.0,8.0,10.0,15.0,10.0,12.0,10.0,8.0,10.0,0.5
6,13.0,13.0,13.0,12.0,10.0,13.0,12.0,10.0,13.0,0.5
7,15.0,13.0,13.0,14.0,15.0,15.0,14.0,10.0,12.0,0.5
8,13.0,13.0,13.0,15.0,15.0,15.0,15.0,10.0,14.0,0.5
9,15.0,10.0,13.0,13.0,10.0,13.0,13.0,14.0,14.0,0.5
10,11.0,8.0,10.0,0.5,5.0,8.0,6.0,8.0,10.0,0.5
11,6.0,2.0,0.3,0.2,5.0,8.0,5.0,5.0,7.0,0.5
12,3.0,0.0,1.0,0.5,1.0,5.0,2.0,2.0,5.0,0.5
