MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,20.5,13.5,1.2,12.6,2.5,11.9,12.6,21.0,2.7,11.5,1.8
2,1.1,1.8,7.5,3.0,2.5,2.6,6.5,7.9,4.4,8.5,2.5
3,16.5,14.1,6.5,4.8,3.5,1.3,1.9,7.5,22.8,1.8,1.8
4,10.5,32.1,3.5,17.7,1.8,8.9,7.5,1.3,20.8,1.5,0.5
5,4.0,8.5,21.5,5.2,7.5,10.8,15.0,1.8,8.8,2.0,21.9
6,10.5,32.5,4.0,20.6,26.5,28.0,42.8,21.1,7.5,48.2,28.5
7,16.7,13.5,8.7,2.7,3.0,8.9,16.0,8.5,10.7,18.3,9.5
8,7.6,51.0,94.0,12.0,8.9,8.3,36.0,11.5,13.5,20.5,9.5
9,12.5,26.7,38.5,16.4,19.7,28.8,13.2,26.0,2.6,36.1,9.5
10,52.8,31.0,23.5,12.4,25.5,10.9,23.5,16.0,12.3,84.4,9.5
11,28.5,15.8,4.8,11.5,8.5,15.7,27.5,2.4,10.5,12.0,9.5
12,2.9,7.0,1.1,2.8,3.0,1.8,0.01,22.0,12.7,14.0,9.5
