MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,35.3,22.88,2.24,32.64,8.09,36.12,28.46,27.94,3.4,17.66,6.94
2,4.34,4.12,9.02,7.12,8.22,9.26,9.96,17.12,5.65,15.33,8.92
3,68.99,31.89,38.62,12.53,14.75,3.43,6.57,12.85,27.73,6.03,7.53
4,39.44,71.4,9.82,65.41,3.15,31.13,12.75,5.67,48.53,1.54,1.03
5,13.87,20.58,47.83,10.94,15.47,43.33,68.58,3.87,36.77,2.83,72.35
6,51.72,93.78,22.05,74.13,100.81,135.52,156.65,65.68,13.46,188.43,19.354
7,38.06,47.67,23.85,8.15,19.5,42.26,59.69,21.55,43.75,63.0,19.354
8,30.73,118.65,142.67,30.79,38.83,38.06,83.5,35.61,51.0,52.38,19.354
9,83.51,72.39,210.84,26.72,54.6,133.77,95.18,132.46,10.59,115.87,19.354
10,137.09,102.25,133.65,71.03,129.74,11.07,83.52,68.82,68.05,211.58,19.354
11,94.18,51.98,10.52,51.44,28.34,63.13,46.69,10.28,28.97,14.67,19.354
12,14.9,17.14,1.61,8.83,7.56,6.06,0.13,34.08,50.99,17.51,19.354
