MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,26.0,23.0,26.0,23.0,25.5,25.0,26.0,28.0,26.0,26.0,25.0
2,29.0,26.5,26.0,26.0,32.0,28.0,29.0,27.0,27.0,26.5,27.0
3,27.0,30.0,27.0,29.0,30.0,31.5,30.0,32.0,31.5,31.0,30.0
4,32.0,29.5,30.0,26.0,30.0,31.0,31.0,33.0,31.5,31.0,32.0
5,29.0,29.5,31.0,30.5,30.0,29.0,29.5,33.0,30.0,33.0,30.0
6,25.0,24.5,27.0,25.5,26.0,27.5,27.0,28.5,30.5,31.0,28.8
7,28.0,28.0,34.0,27.0,24.0,27.5,28.0,29.0,28.0,25.0,28.8
8,27.5,25.5,26.5,25.0,26.0,25.0,27.5,26.0,29.0,24.0,28.8
9,27.5,24.0,23.0,27.0,24.5,27.0,28.0,24.0,24.5,26.5,28.8
10,25.0,24.0,23.0,25.0,24.0,24.5,28.0,26.5,26.0,26.0,28.8
11,23.5,24.5,24.5,25.0,25.0,26.5,23.5,25.5,28.0,28.0,28.8
12,26.0,26.0,23.5,26.0,24.5,24.0,25.5,24.5,23.5,25.5,28.8
