MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,-4.0,-7.0,-4.5,-9.5,-11.0,-4.0,-2.5,-6.0,-9.0,-2.5,-3.0
2,-6.0,-7.0,-3.5,-2.5,-2.0,-5.0,-5.0,-5.0,-8.0,-9.0,-4.0
3,-4.0,-1.0,-4.5,-3.0,-3.5,-2.0,-6.0,-8.0,-6.0,-2.5,1.0
4,-1.0,1.0,-2.5,-3.5,0.0,3.0,1.0,-1.0,1.0,-2.5,-8.0
5,2.0,2.0,-3.0,0.0,2.0,3.5,2.0,-5.0,0.0,-1.0,2.0
6,1.5,3.5,3.0,2.0,2.0,5.0,5.0,-1.0,-2.0,-2.0,-2.4
7,2.0,4.0,3.5,2.0,2.0,4.5,2.0,1.0,-1.0,0.0,-2.4
8,3.0,2.5,4.0,1.0,1.0,1.5,0.5,0.0,1.0,0.0,-2.4
9,4.0,2.5,0.0,1.0,1.0,2.5,3.0,2.5,-1.5,2.0,-2.4
10,0.0,0.0,-1.5,2.0,3.5,-3.5,0.0,-1.5,-4.5,-1.0,-2.4
11,1.0,-3.0,-4.0,-1.5,0.0,-1.5,-3.0,-3.5,-6.5,-5.0,-2.4
12,0.0,-1.0,-8.0,-8.0,-2.5,-4.5,-2.0,-6.0,-10.0,-1.5,-2.4
