MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,5.8,2.3,3.3,23.2,7.2,52.0,8.0,20.0,3.5,29.5,9.0
2,1.3,0.6,22.7,2.4,1.9,5.3,20.0,16.5,13.0,6.0,18.3
3,80.7,38.7,23.5,17.0,3.3,0.5,10.0,10.0,16.0,6.0,0.0
4,57.5,16.4,2.5,48.4,2.1,59.5,15.5,10.5,52.0,15.5,0.01
5,19.8,4.8,48.5,14.0,0.7,72.0,12.8,10.0,49.5,0.0,12.0
6,38.2,141.7,27.4,61.8,8.0,73.0,46.0,65.0,30.0,45.4,40.0
7,16.2,87.3,22.3,13.4,40.0,16.5,33.0,1.0,35.0,34.4,13.218333333333334
8,75.3,92.9,41.5,36.5,40.0,26.0,47.5,32.0,29.0,5.0,13.218333333333334
9,25.2,70.3,65.5,32.8,17.5,33.0,54.5,41.9,15.0,42.5,13.218333333333334
10,56.4,70.8,22.2,42.8,74.5,20.5,32.0,11.7,55.0,63.0,13.218333333333334
11,93.6,38.3,4.0,20.3,4.9,30.0,28.0,23.0,37.0,22.0,13.218333333333334
12,4.8,20.5,6.2,10.3,13.0,18.0,0.0,16.0,9.5,26.0,13.218333333333334
