MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,27.51,6.83,7.12,71.62,18.02,97.2,17.12,55.5,11.5,98.5,53.31
2,5.63,0.62,27.72,4.9,3.72,12.4,20.0,30.52,31.5,15.01,47.01
3,156.31,65.81,50.34,59.2,16.2,0.51,17.5,14.52,39.5,11.7,0.0
4,65.01,19.7,3.01,156.6,2.1,84.4,42.9,10.5,149.72,28.0,0.01
5,34.8,10.31,109.9,14.0,0.7,99.51,20.2,16.0,133.03,0.0,24.01
6,140.71,377.2,40.9,131.8,36.62,89.91,147.4,197.01,42.0,201.2,134.01
7,44.9,108.22,65.92,13.4,45.81,16.5,79.02,2.03,83.51,124.4,43.05833333333333
8,141.3,161.02,74.5,102.22,45.81,87.2,71.41,42.6,64.52,11.0,43.05833333333333
9,89.01,162.61,316.02,75.0,55.02,161.2,95.91,205.0,15.0,152.2,43.05833333333333
10,198.3,225.1,88.8,208.81,164.81,52.0,86.0,53.2,154.0,107.5,43.05833333333333
11,188.92,112.61,4.51,45.11,23.31,72.91,50.32,68.01,118.04,39.0,43.05833333333333
12,10.61,57.91,10.22,18.81,21.4,26.21,0.0,22.03,56.5,35.5,43.05833333333333
