MES,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,54.88,78.18,55.38,71.02,94.68,75.46,83.66,87.2,44.55
2,94.42,108.74,91.72,100.82,90.84,114.48,91.86,113.12,75.23
3,122.06,128.88,136.16,114.54,161.54,179.68,185.42,161.56,110.69
4,141.9,178.94,140.06,210.54,190.58,173.78,200.61,155.7,126.81
5,170.22,187.04,190.86,212.7,189.8,200.9,239.5,204.48,171.67
6,162.16,199.33,187.28,195.28,196.6,149.36,212.02,216.58,146.02
7,164.96,131.61,194.56,227.98,200.22,158.24,214.32,151.81,138.94
8,137.5,160.57,163.68,248.02,161.16,164.4,213.66,151.47,101.54818181818183
9,119.16,94.78,130.0,171.78,114.1,131.64,117.0,178.01,93.22
10,115.68,97.54,88.72,135.4,145.3,111.86,110.62,91.96,86.64
11,64.3,91.58,69.1,82.8,101.56,100.2,64.28,40.15,73.38
12,47.72,64.55,61.66,79.94,81.38,90.88,64.34,27.46,49.88
