MES,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,11.3,3.6,12.6,18.1,54.5,15.8,6.1,6.2,7.4
2,3.3,3.6,6.0,2.2,2.1,6.8,11.8,1.2,11.2
3,16.4,23.2,10.4,14.8,0.0,3.0,1.2,1.9,2.5
4,4.8,37.8,47.8,0.0,27.4,13.9,40.6,20.8,21.8
5,30.8,43.2,9.8,1.8,100.4,27.8,0.0,54.6,0.0
6,40.5,30.2,35.0,14.8,34.6,58.6,60.8,39.6,115.8
7,66.2,45.6,40.9,21.2,25.3,42.4,4.2,53.8,59.4
8,44.2,48.4,16.6,1.4,62.4,54.6,5.2,27.2,34.800000000000004
9,28.2,55.4,8.8,20.8,19.2,43.0,42.8,1.2,92.4
10,39.4,45.8,14.2,23.2,9.4,19.8,13.6,32.4,37.4
11,31.4,6.5,24.6,13.6,22.4,18.6,59.6,18.6,0.3
12,20.8,0.5,10.2,27.2,0.0,5.6,5.6,16.8,34.6
