MES,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,17.6,20.8,16.5,19.8,20.6,20.3,18.9,21.0,18.6
2,20.4,24.0,23.4,22.4,20.9,20.5,19.0,20.1,21.2
3,24.8,24.8,24.5,23.0,26.4,24.5,23.1,24.4,25.2
4,27.6,27.7,25.5,26.5,29.3,27.0,28.6,25.3,27.6
5,30.0,29.2,29.0,31.0,29.2,29.6,30.9,27.3,33.3
6,28.9,30.4,29.6,30.9,29.0,28.6,29.1,30.9,30.8
7,29.4,28.1,29.7,29.8,30.4,28.8,29.7,29.6,27.5
8,28.9,29.8,29.1,31.8,29.2,29.0,30.2,29.8,25.87272727272727
9,28.4,27.5,28.9,29.5,27.8,28.6,27.6,31.0,28.2
10,26.7,25.2,25.0,26.6,26.4,27.3,25.1,25.8,25.8
11,23.0,23.5,20.8,22.0,24.6,23.0,22.3,20.3,24.7
12,21.1,19.4,19.5,20.9,19.6,23.5,20.1,19.2,21.7
