MES,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,36.0,37.5,29.5,30.0,31.5,34.0,35.0,35.0,30.0
2,39.0,40.0,34.0,37.0,33.0,36.0,37.5,37.0,37.0
3,41.0,37.5,38.0,37.0,39.5,40.0,43.0,40.0,39.5
4,44.0,46.0,43.0,44.5,42.5,41.5,43.0,38.0,42.5
5,41.0,40.0,39.5,42.5,41.0,44.0,42.0,36.5,47.0
6,40.0,41.0,39.0,41.5,41.0,39.0,40.0,42.0,44.5
7,37.5,36.5,39.0,39.0,41.0,38.0,39.0,39.0,36.0
8,38.0,38.5,39.0,44.0,39.0,39.0,39.0,39.5,37.59090909090909
9,37.0,36.0,39.0,40.5,39.0,37.0,37.0,40.0,37.0
10,36.0,35.0,36.0,37.0,37.0,40.5,36.0,39.0,35.0
11,36.0,33.5,33.5,32.5,35.0,33.0,35.0,32.5,34.0
12,31.0,32.0,33.0,32.5,32.0,39.0,31.0,31.5,31.0
