MES,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,23.8,27.5,22.4,25.1,25.8,25.6,25.2,26.8,24.1
2,27.7,31.4,29.3,28.5,26.4,27.1,25.3,26.7,28.2
3,31.6,31.3,30.7,29.1,33.3,31.6,31.4,31.0,32.1
4,34.0,35.0,31.8,34.8,36.3,33.8,36.0,30.9,35.0
5,36.4,35.9,35.3,37.6,35.6,36.4,37.6,33.8,41.0
6,35.2,37.1,35.7,37.1,34.8,34.0,35.6,37.9,37.1
7,35.5,33.2,36.5,36.4,36.7,34.2,36.3,36.1,32.2
8,34.5,35.8,35.2,39.3,35.1,34.9,37.1,36.7,32.07272727272727
9,34.0,32.4,35.0,36.0,33.2,34.5,32.9,38.7,33.5
10,32.5,30.7,29.7,32.5,33.0,33.4,30.6,31.2,31.8
11,28.1,30.2,25.9,27.3,30.9,29.4,27.3,25.4,30.6
12,26.3,26.1,25.6,26.6,26.1,30.4,26.2,23.7,27.2
