MES,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,6.5,6.0,3.5,8.0,8.0,7.5,7.0,7.0,4.0
2,8.5,9.0,11.0,10.0,8.5,5.0,7.0,6.0,9.0
3,13.0,14.5,15.0,8.0,13.0,13.0,8.5,9.0,13.0
4,13.5,17.0,12.0,12.5,16.5,14.0,17.0,15.0,14.0
5,16.5,16.0,19.5,22.0,20.5,18.5,22.0,15.0,24.5
6,20.5,22.0,22.0,21.5,21.0,21.5,21.0,20.5,22.0
7,22.5,21.5,20.0,21.5,22.5,22.25,21.0,20.5,21.5
8,22.0,22.0,21.5,23.0,21.5,21.0,22.0,21.0,15.681818181818182
9,22.0,18.5,21.5,22.0,15.5,20.0,20.0,22.0,21.0
10,18.5,15.0,13.5,12.0,13.0,16.0,13.0,11.5,18.0
11,14.5,9.0,3.0,8.5,15.0,13.0,11.5,11.5,13.5
12,9.5,5.0,5.5,9.5,7.0,11.5,2.0,9.5,12.0
