MES,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,11.4,14.1,10.6,14.4,15.5,15.0,12.5,15.1,13.1
2,13.0,16.7,17.4,16.2,15.4,13.8,12.6,13.5,14.2
3,17.9,18.2,18.3,17.0,19.5,17.3,14.9,17.7,18.3
4,21.1,20.4,19.2,18.2,22.4,20.2,21.2,19.7,20.2
5,23.5,22.5,22.6,24.3,22.9,22.8,24.1,20.8,25.6
6,22.6,23.7,23.4,24.7,23.2,23.1,22.7,23.9,24.4
7,23.4,23.0,22.9,23.1,24.1,23.3,23.1,23.2,22.7
8,23.2,23.9,23.0,24.3,23.3,23.0,23.3,22.9,19.654545454545453
9,22.8,22.6,22.8,23.0,22.3,22.8,22.4,23.2,23.0
10,20.9,19.8,20.2,20.7,19.7,21.2,19.6,20.3,19.7
11,17.8,16.8,15.6,16.6,18.3,16.5,17.3,15.2,18.8
12,16.0,12.7,13.4,15.1,13.1,16.6,14.1,14.8,16.2
