MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,5.2,3.0,7.6,22.6,10.6,22.4,12.5,10.3,4.3,38.6,28.3
2,6.2,1.8,5.2,12.8,1.2,6.8,3.8,2.5,4.2,3.8,46.3
3,2.5,1.3,4.7,5.6,0.5,5.7,12.6,2.4,0.01,0.01,24.6
4,7.8,1.3,27.8,42.4,0.0,3.2,30.6,68.4,54.3,24.8,0.01
5,32.0,23.6,45.6,12.5,48.6,56.4,46.8,11.5,38.6,3.7,71.6
6,22.4,16.8,48.3,13.6,85.3,65.5,157.7,57.4,30.4,118.5,34.162
7,92.5,24.0,40.6,52.6,108.5,34.5,34.5,58.4,56.7,80.4,34.162
8,45.5,114.8,30.3,28.3,40.3,50.4,46.7,42.8,24.7,34.6,34.162
9,22.0,16.7,226.0,34.8,64.5,68.7,68.4,43.6,22.7,102.4,34.162
10,180.6,62.5,92.5,126.7,142.8,53.6,92.4,64.4,48.6,145.8,34.162
11,53.7,47.3,47.7,46.7,275.0,70.5,9.6,37.3,22.4,8.2,34.162
12,8.0,30.4,18.8,105.8,2.3,5.4,4.3,47.3,68.6,10.2,34.162
