MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,21.31,7.02,19.5,96.0,23.82,91.3,49.92,26.23,9.31,51.92,82.8
2,12.21,1.8,8.0,42.2,1.21,42.12,17.21,8.41,8.32,4.51,105.91
3,13.53,2.01,11.91,6.4,0.5,10.3,35.3,2.4,0.02,0.02,31.9
4,20.7,1.8,53.3,62.2,0.0,3.2,31.92,72.3,54.31,24.81,0.01
5,92.9,23.62,140.8,23.1,138.41,190.4,79.73,29.41,39.9,3.7,139.9
6,72.31,79.11,209.42,66.62,190.5,261.32,580.2,195.31,109.0,282.91,72.104
7,189.52,211.71,151.62,216.9,368.11,113.71,106.2,253.5,160.41,336.11,72.104
8,175.9,237.4,71.03,159.51,159.93,259.81,278.91,129.23,66.31,195.53,72.104
9,84.71,147.1,826.51,164.85,177.11,302.1,315.9,278.92,50.9,211.45,72.104
10,523.7,324.2,413.0,417.81,469.8,178.2,295.4,258.0,208.4,604.97,72.104
11,222.2,133.9,109.8,88.71,388.31,483.9,62.0,108.3,129.91,29.4,72.104
12,24.52,104.8,29.3,199.31,5.81,9.61,4.73,111.8,193.2,26.3,72.104
