MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,18.4,19.8,21.7,18.8,20.6,21.1,20.3,20.6,22.6,21.1,19.3
2,19.7,20.1,23.4,23.0,23.6,21.5,21.2,20.1,22.0,22.2,22.8
3,21.8,24.7,24.1,25.1,24.0,25.6,24.0,23.4,25.8,25.6,25.4
4,27.4,27.5,26.8,25.0,27.0,29.1,26.8,27.8,27.5,27.9,27.0
5,27.5,29.1,28.0,28.0,30.6,28.1,27.6,29.4,28.8,32.4,30.0
6,26.5,27.7,27.0,27.3,28.2,26.0,26.4,25.9,29.9,28.8,24.9
7,26.8,26.2,25.6,26.1,27.2,27.8,26.1,26.6,26.9,26.2,24.9
8,26.9,26.0,26.9,26.1,28.2,25.4,25.7,26.6,26.9,26.3,24.9
9,25.8,25.5,25.4,26.7,26.1,25.1,25.9,25.0,27.1,26.4,24.9
10,24.0,23.8,23.8,24.4,24.6,24.5,25.3,24.2,25.4,23.2,24.9
11,22.7,22.3,22.9,22.8,21.9,22.7,22.5,23.6,22.1,24.0,24.9
12,22.0,22.7,20.8,21.2,20.6,19.9,23.1,21.5,20.9,21.3,24.9
