MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,23.7,24.9,27.5,23.5,25.3,25.5,24.3,24.9,27.6,25.7,24.1
2,25.5,25.7,30.0,28.9,29.0,26.2,26.2,24.9,26.9,28.1,27.9
3,27.3,31.2,30.5,30.5,29.4,31.6,28.9,29.5,31.5,31.3,31.5
4,33.9,34.1,33.1,30.5,34.3,35.6,32.4,34.3,33.1,34.0,33.5
5,34.0,36.2,34.4,34.2,37.9,34.0,32.7,35.7,34.6,39.5,36.8
6,32.1,33.9,32.9,32.9,33.9,31.0,31.1,30.5,35.8,34.1,30.76
7,32.8,32.0,30.8,31.4,33.0,33.4,30.8,31.5,31.6,30.7,30.76
8,32.6,31.4,32.5,31.5,34.4,30.7,30.1,31.6,31.5,30.6,30.76
9,31.0,30.9,30.2,32.3,32.0,29.9,30.2,29.0,32.1,30.7,30.76
10,29.1,28.4,28.1,28.9,28.8,29.6,29.6,28.4,29.5,26.7,30.76
11,26.7,26.7,27.9,27.3,26.0,26.8,26.6,27.6,25.5,28.6,30.76
12,26.0,27.2,25.5,26.3,25.5,24.5,28.1,25.5,24.5,26.3,30.76
