MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,10.0,8.0,10.0,11.0,11.0,13.0,14.0,12.0,12.0,13.5,8.0
2,10.0,8.5,11.0,12.5,13.0,13.5,12.0,10.5,15.0,13.5,13.0
3,12.0,14.0,14.0,17.0,13.5,13.0,15.0,13.0,15.0,14.0,14.0
4,15.0,15.0,17.0,13.0,14.0,20.0,15.0,16.5,18.0,17.0,14.0
5,16.0,15.0,15.0,20.0,22.0,16.5,20.5,21.0,16.5,24.0,18.0
6,19.0,19.0,14.5,20.0,20.0,14.0,19.5,20.0,22.0,21.0,13.4
7,18.0,18.0,14.5,17.0,20.0,20.0,20.0,21.0,21.0,20.5,13.4
8,19.0,18.5,20.0,19.0,20.0,18.5,20.0,20.5,21.0,21.0,13.4
9,19.0,18.0,17.0,19.5,14.0,18.0,20.0,20.0,21.0,20.0,13.4
10,17.0,14.0,15.0,17.5,17.5,14.5,19.0,17.5,19.0,14.0,13.4
11,15.0,15.0,13.0,12.0,14.0,17.0,15.0,18.0,15.0,15.0,13.4
12,15.0,13.0,10.0,11.5,13.0,12.5,14.5,13.5,12.5,15.0,13.4
