MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,13.1,14.7,15.9,14.0,15.9,16.7,16.3,16.3,17.5,16.6,14.5
2,13.9,14.6,16.9,17.2,18.1,16.8,16.3,15.4,17.2,16.3,17.7
3,16.3,18.2,17.8,19.8,18.6,19.5,19.0,17.4,20.1,20.0,19.3
4,20.9,20.8,20.5,19.6,19.7,22.7,21.2,21.4,21.8,21.8,20.5
5,21.0,22.0,21.7,21.7,23.3,22.3,22.4,23.1,22.9,25.3,23.2
6,20.8,21.5,21.0,21.7,22.6,20.9,21.6,21.3,24.0,23.4,19.04
7,20.9,20.4,20.3,20.9,21.5,22.1,21.5,21.7,22.2,21.8,19.04
8,21.1,20.7,21.3,20.7,22.0,20.1,21.3,21.7,22.2,22.0,19.04
9,20.6,20.1,20.6,21.1,20.2,20.4,21.5,21.0,22.1,22.1,19.04
10,19.0,19.2,19.4,19.9,20.4,19.3,21.0,20.0,21.4,19.7,19.04
11,18.7,17.9,17.8,18.3,17.8,18.6,18.3,19.6,18.7,19.5,19.04
12,17.9,18.2,16.1,16.2,15.7,15.2,18.1,17.5,17.2,16.3,19.04
