MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,16.67,14.41,4.42,27.14,38.23,86.53,21.09,6.16,1.81,28.04,18.59
2,5.95,23.63,4.93,24.64,1.14,36.09,0.86,10.51,3.03,8.71,10.17
3,28.97,4.17,81.92,40.72,17.82,0.74,3.64,0.41,49.62,0.0,0.54
4,14.92,12.13,11.33,78.43,3.11,0.4,2.51,6.81,35.72,0.41,0.01
5,78.8,4.42,123.81,65.81,27.82,62.54,28.12,24.73,17.53,0.81,107.21
6,81.62,79.64,131.91,184.56,160.7,147.02,229.84,259.93,115.21,454.05,27.303999999999995
7,144.35,244.51,203.14,130.96,186.71,56.55,167.36,165.43,242.41,792.52,27.303999999999995
8,175.36,219.41,103.54,356.65,191.13,107.23,300.2,105.78,79.57,305.64,27.303999999999995
9,94.85,211.53,264.95,158.07,88.44,351.31,160.23,268.15,93.02,133.43,27.303999999999995
10,227.75,71.93,143.52,288.48,143.15,78.43,206.23,123.74,54.24,397.32,27.303999999999995
11,137.11,28.36,40.23,10.75,71.72,176.32,41.42,21.93,52.45,13.74,27.303999999999995
12,20.11,66.25,14.41,115.74,4.7,1.43,1.34,29.25,61.14,15.76,27.303999999999995
