MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,25.2,12.8,46.0,39.0,14.0,20.1,18.0,18.0,93.1,37.3,20.0
2,13.5,20.0,7.5,29.0,3.0,48.0,16.0,23.9,2.4,17.5,18.0
3,12.7,60.0,19.0,14.0,14.0,10.5,7.9,11.0,5.0,5.0,30.0
4,26.0,10.0,51.0,149.0,8.0,42.0,4.0,44.0,0.4,8.1,5.0
5,25.0,18.0,36.0,2.6,8.0,36.0,15.0,45.0,4.0,0.0,42.6
6,78.0,41.3,46.0,31.0,41.5,96.4,223.6,72.0,48.0,90.5,23.119999999999997
7,12.1,22.2,54.0,127.0,24.0,22.0,22.7,26.0,39.0,68.0,23.119999999999997
8,96.7,147.3,31.2,167.0,9.0,26.8,58.0,38.5,86.5,27.0,23.119999999999997
9,64.5,35.2,272.5,20.0,21.0,132.0,156.0,48.3,19.6,44.0,23.119999999999997
10,238.2,241.3,197.3,320.2,272.0,52.0,166.4,163.0,81.0,296.3,23.119999999999997
11,106.0,30.0,66.3,271.5,239.7,109.5,58.0,165.5,43.0,18.1,23.119999999999997
12,4.8,108.5,30.2,123.0,3.5,43.3,7.0,78.0,58.5,24.0,23.119999999999997
