MES,2015,2016,2018,2019,2020,2021,2022,2023,2024,2025
1,22.8,24.7,32.1,26.3,27.0,26.2,25.7,28.2,26.8,24.9
2,26.3,25.7,32.1,29.9,27.3,27.9,25.9,28.2,29.0,27.6
3,27.2,30.8,32.8,30.2,32.7,30.5,29.9,33.0,32.5,31.7
4,34.6,33.7,32.6,34.2,36.9,34.3,35.0,34.5,35.2,33.7
5,34.1,36.4,35.2,39.2,36.3,36.0,36.0,36.0,40.0,37.6
6,33.4,34.7,35.1,35.5,33.2,33.5,31.7,36.0,36.6,31.1
7,34.4,33.2,33.7,34.3,35.1,33.3,33.3,32.7,32.1,31.1
8,33.8,32.2,33.0,36.4,32.9,32.9,33.2,33.4,32.4,31.1
9,32.3,31.0,33.5,33.6,31.8,32.4,30.0,33.4,32.9,31.1
10,30.1,28.6,29.7,30.6,31.0,30.8,29.5,31.3,28.5,31.1
11,27.3,31.1,28.0,27.1,28.2,27.9,28.1,26.5,30.4,31.1
12,26.3,31.1,27.4,27.8,25.5,28.8,26.0,25.3,27.3,31.1
