MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,15.0,8.5,23.5,10.0,11.5,25.0,9.0,8.0,5.0,2.0
2,0.0,48.0,1.0,8.5,5.0,1.0,1.5,15.0,0.0,18.0
3,27.5,21.0,6.5,78.0,10.5,9.5,1.5,15.0,3.0,1.0
4,46.0,0.0,20.0,14.0,18.5,9.0,10.333333333333334,15.0,0.0,7.0
5,24.0,23.5,10.5,51.0,50.0,13.0,10.333333333333334,15.0,0.0,7.0
6,95.0,28.0,19.0,33.0,90.0,30.0,10.333333333333334,15.0,0.0,7.0
7,40.0,32.0,15.0,24.5,40.0,16.0,20.0,15.0,30.0,7.0
8,25.5,28.0,31.5,18.0,44.0,60.0,4.0,15.0,14.0,7.0
9,46.0,112.5,117.5,17.0,32.0,17.5,26.0,15.0,25.0,7.0
10,30.0,40.0,123.0,42.0,8.0,32.0,10.333333333333334,22.0,44.0,7.0
11,40.0,2.0,13.5,15.0,30.95,8.0,10.333333333333334,15.0,1.5,7.0
12,36.0,5.0,5.5,4.0,30.95,3.0,10.333333333333334,15.0,0.0,7.0
